Country Name,Country Code,year,pop_density,mobile_subs,exports_gdp,imports_gdp,gdp_growth,gdp_per_capita,under5_mortality,unemployment,net_migration,adol_fertility,life_expectancy,fertility_rate,pop_growth,population,urban_pop_growth,hdi,Region,IncomeGroup
Afghanistan,AFG,1990,18.468423715560466,0.0,,,,,180.7,,-458737.0,139.376,45.118,7.576,1.43458821147838,12045660.0,1.8557118117097515,0.285,Middle East & North Africa,Low income
Afghanistan,AFG,1991,18.764667371939343,0.0,,,,,174.4,8.07,32782.0,145.383,45.521,7.631,1.59132588364829,12238879.0,2.01072857979813,0.291,Middle East & North Africa,Low income
Afghanistan,AFG,1992,20.35934256320623,0.0,,,,,168.5,8.011,1197329.0,147.499,46.569,7.703,8.15641941048095,13278974.0,8.574058437227347,0.301,Middle East & North Africa,Low income
Afghanistan,AFG,1993,22.910893396501233,0.0,,,,,163.0,7.888,1149684.0,149.461,51.021,7.761,11.8072591071712,14943172.0,12.223159793363616,0.311,Middle East & North Africa,Low income
Afghanistan,AFG,1994,24.91574137957469,0.0,,,,,157.7,7.822,315206.0,156.835,50.969,7.767,8.38872960212999,16250794.0,8.807543591066075,0.305,Middle East & North Africa,Low income
Afghanistan,AFG,1995,26.16536497861184,0.0,,,,,152.8,7.817,52505.0,158.315,52.103,7.767,4.89368011973163,17065836.0,5.31074209896015,0.329,Middle East & North Africa,Low income
Afghanistan,AFG,1996,27.23466568541772,0.0,,,,,148.3,7.867,4072.0,157.603,52.83,7.757,4.00540467357125,17763266.0,4.4207662719633225,0.334,Middle East & North Africa,Low income
Afghanistan,AFG,1997,28.29077319350536,0.0,,,,,144.1,7.863,-21215.0,158.761,53.212,7.732,3.80450803445817,18452091.0,4.222694875106314,0.338,Middle East & North Africa,Low income
Afghanistan,AFG,1998,29.37613418579335,0.0,,,,,139.9,7.89,7380.0,155.942,52.487,7.693,3.7646866376293,19159996.0,4.176594572071891,0.338,Middle East & North Africa,Low income
Afghanistan,AFG,1999,30.491981356270028,0.0,,,,,135.8,7.903,-32400.0,156.365,54.532,7.641,3.72811603964771,19887785.0,4.1428683115757305,0.347,Middle East & North Africa,Low income
Afghanistan,AFG,2000,30.86384710914861,0.0,,,,308.3182697466378,131.7,7.935,-1025973.0,154.31,55.005,7.566,1.21217597601851,20130327.0,1.6297695102753644,0.351,Middle East & North Africa,Low income
Afghanistan,AFG,2001,31.09992947273201,0.0,,,-9.431974070086198,277.1180514439406,127.4,7.953,-212872.0,152.471,55.511,7.453,0.762004896898895,20284307.0,1.1733232684300663,0.355,Middle East & North Africa,Low income
Afghanistan,AFG,2002,32.77696058139,0.116942,,,28.600001170678837,338.13997364338707,123.1,7.93,860349.0,150.161,56.225,7.32,5.25202958527833,21378117.0,5.666173061715911,0.383,Middle East & North Africa,Low income
Afghanistan,AFG,2003,34.85434432638793,0.879776,,,8.832277802882672,346.0716270962232,118.7,7.88,247317.0,143.75,57.171,7.174,6.14519400188515,22733049.0,6.557604589698977,0.392,Middle East & North Africa,Low income
Afghanistan,AFG,2004,36.123229535593275,2.54662,,,1.4141179933942851,338.6372738881967,114.2,7.899,-269194.0,136.93,57.81,7.018,3.57583485398158,23560654.0,4.231317638749359,0.408,Middle East & North Africa,Low income
Afghanistan,AFG,2005,37.41711819450194,4.91711,,,11.229714827285903,363.6401414367734,109.7,7.885,250971.0,130.838,58.247,6.858,3.51921696042587,24404567.0,4.417399082831013,0.417,Middle East & North Africa,Low income
Afghanistan,AFG,2006,38.98025849776919,9.9133,,,5.3574032474859195,367.75831169358025,105.1,7.914,57673.0,121.635,58.553,6.686,4.09270201656348,25424094.0,4.9872422232077875,0.426,Middle East & North Africa,Low income
Afghanistan,AFG,2007,39.725023381322536,18.0167,,,13.826319547128136,410.75772887909744,100.7,7.817,-851298.0,117.754,58.956,6.508,1.8925975396006,25909852.0,2.7878685495877455,0.442,Middle East & North Africa,Low income
Afghanistan,AFG,2008,40.60319519188017,29.8268,,,3.924983819994665,417.6472826474983,96.3,7.878,215753.0,118.979,59.708,6.392,2.18654618162979,26482622.0,3.078153606316604,0.446,Middle East & North Africa,Low income
Afghanistan,AFG,2009,42.11106664826825,38.2289,,,21.39052839264923,488.8306524919485,92.2,7.754,-60602.0,109.655,60.248,6.295,3.64638090813246,27466101.0,4.534368413469161,0.458,Middle East & North Africa,Low income
Afghanistan,AFG,2010,43.3652070588596,36.1187,,,14.362441471073724,542.8710304760368,88.3,7.753,-167460.0,105.648,60.702,6.195,2.93468670173474,28284089.0,3.819068493827837,0.465,Middle East & North Africa,Low income
Afghanistan,AFG,2011,44.995949281695104,47.0152,,,0.4263547767773445,525.4269827658195,84.6,7.784,384486.0,101.659,61.25,6.094,3.69150308391849,29347708.0,4.576484646308596,0.474,Middle East & North Africa,Low income
Afghanistan,AFG,2012,46.85468929672048,50.1967,,,12.752287092669732,568.9290214583409,81.2,7.856,68628.0,95.245,61.735,5.985,4.04786256315645,30560034.0,4.929217250964428,0.484,Middle East & North Africa,Low income
Afghanistan,AFG,2013,48.483976511353355,53.149,,,5.600744658632209,580.6038333330962,78.0,7.93,18119.0,89.337,62.188,5.879,3.41822667584596,31622704.0,4.295993090605838,0.492,Middle East & North Africa,Low income
Afghanistan,AFG,2014,50.27754473115312,56.1322,,,2.7245433621956465,575.1462458085464,75.1,7.915,233913.0,84.069,62.26,5.77,3.63251884652008,32792523.0,4.506707415064212,0.497,Middle East & North Africa,Low income
Afghanistan,AFG,2015,51.870910568357786,58.256,,,1.451314660664309,565.5697304087512,72.4,9.052,-286314.0,81.043,62.27,5.652,3.11995924146907,33831764.0,3.994626151218298,0.496,Middle East & North Africa,Low income
Afghanistan,AFG,2016,53.20302960612054,62.2553,,,2.260314202798213,563.8723367231469,70.0,10.133,-143049.0,78.13,62.646,5.542,2.53571991833963,34700612.0,3.4068127165521753,0.495,Middle East & North Africa,Low income
Afghanistan,AFG,2017,54.71832789046809,67.0508,,,2.647003202745097,562.7695741409875,67.6,11.184,-71491.0,75.3,62.406,5.433,2.80833730805469,35688935.0,3.7234028151271135,0.496,Middle East & North Africa,Low income
